id,key,n_top,a_method,a_node,a_cut,a_loess_from,b_method,b_node,b_cut,b_loess_from,kept,changed,changed%,Jaccard,Spearman,Kendall,RBO
20530808,VST(v)-NR,2000,vst,Treg,,,vst,root,,,592,1408,70.39999999999999,0.1737089201877934,0.2855478633550576,0.2453933015334425,0.0530873940138818
84e777b3,VST(v_0)-NR,2000,vst,Treg,,root,vst,root,,,587,1413,70.65,0.1719894520949311,0.3232249134976357,0.2988150407717739,0.0624828796781938
aeaab4e7,F-NR,2000,f_stat,Treg,children,,f_stat,root,leaves,,871,1129,56.45,0.278363694471077,0.8025984224712954,0.636493002269226,0.1283454298102367
114c2adb,F-NN,2000,f_stat,Monocyte,children,,f_stat,NK cell,children,,690,1310,65.5,0.2084592145015106,0.7894271066686128,0.6136842733108395,0.0307878704778799
316f1317,VST(v_0)-NN,2000,vst,Monocyte,,root,vst,NK cell,,root,555,1445,72.25,0.1611030478955007,0.556061847850734,0.4736014729396732,0.0885194518360991
8c8b7d22,F-NN,2000,f_stat,Naive CD4 T cell,children,,f_stat,Naive CD8 T cell,children,,819,1181,59.05,0.2574662055957246,0.757126324173991,0.5833724282170195,0.7163835634532655
b523a779,VST(v_0)-NN,2000,vst,Naive CD4 T cell,,root,vst,Naive CD8 T cell,,root,987,1013,50.64999999999999,0.3275804845668769,0.6963834588856971,0.6503831429823883,0.4615291403284736
a9700b59,F-CL,2000,f_stat,root,children,,f_stat,root,leaves,,1630,370,18.5,0.6877637130801688,0.9765368530424564,0.8897955198246235,0.4819017260050162
6734de28,F-CL,2000,f_stat,T cell,children,,f_stat,T cell,leaves,,1872,128,6.4,0.8796992481203008,0.9870652671809244,0.9265704520413756,0.7201725429084851
009f5996,F-NR,2000,f_stat,B cell,children,,f_stat,root,leaves,,828,1172,58.6,0.2610340479192938,0.8440787066191634,0.6746225655487341,0.0477928354252299
37f4b5f6,VST(v)-NR,2000,vst,B cell,,,vst,root,,,827,1173,58.650000000000006,0.2606366214938544,0.4805111020838232,0.3993490385481774,0.6166473026097516
ad1b01fe,VST(v_0)-NR,2000,vst,B cell,,root,vst,root,,,821,1179,58.95,0.2582573136206354,0.4918328337012565,0.4203217225079148,0.6100543081642449
94a9bd89,F-NR,2000,f_stat,DC,children,,f_stat,root,leaves,,1142,858,42.9,0.3995801259622113,0.8600277858666554,0.6930841099537122,0.2556279022702349
47d141b8,VST(v)-NR,2000,vst,DC,,,vst,root,,,992,1008,50.4,0.3297872340425531,0.4069155602681104,0.3390669978720911,0.1858864350010669
451be93a,VST(v_0)-NR,2000,vst,DC,,root,vst,root,,,868,1132,56.6,0.2771392081736909,0.3688401723045907,0.309971490442385,0.1876074230841715
d3c59951,F-NR,2000,f_stat,Monocyte,children,,f_stat,root,leaves,,919,1081,54.05,0.2982797792924375,0.814578416388496,0.6388280891318608,0.2134369684839368
d98a3743,VST(v)-NR,2000,vst,Monocyte,,,vst,root,,,729,1271,63.55,0.2228676245796392,0.5010503999415536,0.4013695750211002,0.1053434989986702
85e7c729,VST(v_0)-NR,2000,vst,Monocyte,,root,vst,root,,,626,1374,68.7,0.1855364552459988,0.5147118943202351,0.4383047595878984,0.1106826429559181
8115de5b,F-NR,2000,f_stat,NK cell,children,,f_stat,root,leaves,,778,1222,61.1,0.2414649286157666,0.8073543480620865,0.6329131156589975,0.0174407488104088
938b65a1,VST(v)-NR,2000,vst,NK cell,,,vst,root,,,616,1384,69.19999999999999,0.1820330969267139,0.414889022364972,0.3387701140325493,0.1282898850541222
4ca722b1,VST(v_0)-NR,2000,vst,NK cell,,root,vst,root,,,565,1435,71.75,0.1644832605531295,0.4546639468238364,0.3993092793221393,0.1458665045488567
979d7a92,F-NR,2000,f_stat,T cell,children,,f_stat,root,leaves,,923,1077,53.85,0.2999675008124797,0.8468771262564608,0.6921553764300264,0.1075815731920886
e4038380,VST(v)-NR,2000,vst,T cell,,,vst,root,,,792,1208,60.4,0.2468827930174563,0.6802725168506755,0.5580205062678592,0.2064071661208901
c6693c21,VST(v_0)-NR,2000,vst,T cell,,root,vst,root,,,763,1237,61.85000000000001,0.235712079085573,0.7277057221755446,0.6411093521445428,0.211676005861345
bf39b23f,F-NR,2000,f_stat,random L1 (seed 0),leaves,,f_stat,root,leaves,,1961,39,1.95,0.96174595389897,0.9602552452279116,0.8785842463354637,0.9418510755015131
ee6efae6,VST(v)-NR,2000,vst,random L1 (seed 0),,,vst,root,,,1679,321,16.05,0.7233950883239982,0.7122073990981276,0.6569430697413723,0.6570487333166792
06b76559,VST(v_0)-NR,2000,vst,random L1 (seed 0),,root,vst,root,,,1676,324,16.2,0.7211703958691911,0.7111135735270614,0.6603222410746235,0.6568154804036115
