id,key,n_top,a_method,a_node,a_cut,a_loess_from,b_method,b_node,b_cut,b_loess_from,kept,changed,changed%,Jaccard,Spearman,Kendall,RBO
57acc1cb,F-NN,2000,f_stat,Mono,children,,f_stat,NK,children,,462,1538,76.9,0.1305822498586772,0.4219513101978926,0.2902653322658894,0.0085006787379078
53c766ce,KW-NN,2000,kw,Mono,children,,kw,NK,children,,456,1544,77.2,0.128668171557562,0.4356693415999684,0.3003150115416017,0.0017283573900917
05d45447,VST(v_0)-NN,2000,vst,Mono,,root,vst,NK,,root,466,1534,76.7,0.1318619128466327,-0.0059327753113131,-0.0087839073638992,0.1909964964389124
038a0396,F-NN,2000,f_stat,CD4 T,children,,f_stat,CD8 T,children,,1458,542,27.1,0.5735641227380016,0.8231908693795627,0.639632257461929,0.2465624801291931
e75884e1,KW-NN,2000,kw,CD4 T,children,,kw,CD8 T,children,,1399,601,30.05,0.5378700499807766,0.8162275521120275,0.6307082001650588,0.2486583448209809
1ad9e560,VST(v_0)-NN,2000,vst,CD4 T,,root,vst,CD8 T,,root,1142,858,42.9,0.3995801259622113,0.619322219048827,0.4859861570447533,0.6622334097362439
a9700b59,F-CL,2000,f_stat,root,children,,f_stat,root,leaves,,1688,312,15.6,0.7301038062283737,0.9555018870374956,0.8487605196643992,0.5504304888714409
e448c635,KW-CL,2000,kw,root,children,,kw,root,leaves,,1741,259,12.95,0.7706949977866312,0.9604897234701856,0.8584296353951396,0.7502827093413077
30c52e4c,F-CL,2000,f_stat,CD4 T,children,,f_stat,CD4 T,leaves,,1867,133,6.65,0.8752930145335208,0.9707040705780284,0.8708062191637024,0.9230586591444008
2097f082,KW-CL,2000,kw,CD4 T,children,,kw,CD4 T,leaves,,1853,147,7.35,0.8630647414997671,0.9715225432529968,0.8719817265907804,0.8635189528417276
a049c136,F-NR,2000,f_stat,ASDC,children,,f_stat,root,leaves,,563,1437,71.85000000000001,0.1638056444573756,0.5089575616637979,0.3668278419163603,0.2253332850957576
9dcf766a,KW-NR,2000,kw,ASDC,children,,kw,root,leaves,,535,1465,73.25,0.1544011544011544,0.5107657316668774,0.3675364012864922,0.0785162270086399
bfa1854b,VST(v)-NR,2000,vst,ASDC,,,vst,root,,,422,1578,78.9,0.1179429849077697,-0.0453831667148469,-0.0319802354693203,0.0961352776837213
6d01e200,VST(v_0)-NR,2000,vst,ASDC,,root,vst,root,,,416,1584,79.2,0.1160714285714285,-0.0146728539105914,-0.0054635923525119,0.0869654921558116
28ba1e8a,F-NR,2000,f_stat,B intermediate,children,,f_stat,root,leaves,,527,1473,73.65,0.1517420097898071,0.3296418691360844,0.2274386527790119,0.0589853046723352
3558ab49,KW-NR,2000,kw,B intermediate,children,,kw,root,leaves,,522,1478,73.9,0.1500862564692351,0.322970127503292,0.2225122421412042,0.07453153539979
5d93e371,VST(v)-NR,2000,vst,B intermediate,,,vst,root,,,719,1281,64.05,0.2191405059433099,0.2808909720719054,0.2067987189404576,0.2542699807559363
03d20906,VST(v_0)-NR,2000,vst,B intermediate,,root,vst,root,,,667,1333,66.64999999999999,0.2001200120012001,0.2639112222596315,0.2020800040082479,0.2220767070669582
ebf86535,F-NR,2000,f_stat,B memory,children,,f_stat,root,leaves,,370,1630,81.5,0.1019283746556473,0.230449662417707,0.156314630533884,0.0292411616054156
1e8c5a68,KW-NR,2000,kw,B memory,children,,kw,root,leaves,,371,1629,81.45,0.1022320198401763,0.2291917164701551,0.15528350985688,0.0255296398553309
989e3bca,VST(v)-NR,2000,vst,B memory,,,vst,root,,,695,1305,65.25,0.2102874432677761,0.3095489834480106,0.2269760528838082,0.3184146396842523
9e862aa0,VST(v_0)-NR,2000,vst,B memory,,root,vst,root,,,634,1366,68.30000000000001,0.1883541295306001,0.291747553730462,0.2232867891557509,0.2872135609531741
42bdc6e4,F-NR,2000,f_stat,B naive,children,,f_stat,root,leaves,,516,1484,74.2,0.148105625717566,0.3061972186795553,0.2103765113767596,0.0422934161973301
3d5287da,KW-NR,2000,kw,B naive,children,,kw,root,leaves,,543,1457,72.85000000000001,0.1570726063060457,0.2994544461709653,0.2057039311887873,0.0184471579703347
fcf6ca9f,VST(v)-NR,2000,vst,B naive,,,vst,root,,,737,1263,63.14999999999999,0.225865767698437,0.3307519674195452,0.2406064845181223,0.2933069525065653
ffac8aef,VST(v_0)-NR,2000,vst,B naive,,root,vst,root,,,678,1322,66.10000000000001,0.2040939193257074,0.2493468364274688,0.1812430087578487,0.2959347956632546
71b15772,F-NR,2000,f_stat,CD4 TCM,children,,f_stat,root,leaves,,699,1301,65.05,0.2117540139351711,0.5839814818713654,0.421883414565449,0.0440756749317775
05c5ea83,KW-NR,2000,kw,CD4 TCM,children,,kw,root,leaves,,654,1346,67.30000000000001,0.1954572624028691,0.5885703083717133,0.4256603448581587,0.056814183686569
