split,node,verdict,n_config,n_gain,n_loss,mean,between_method,within_method,f_statistic,seurat_v3,f_statistic x lgbm,f_statistic x logit,seurat_v3 x lgbm,seurat_v3 x logit
L2 by L1,T cell,gain,4,4,0,0.10412378572342082,0.16575020612061103,0.013973492386863243,0.0212486826631153,0.18699888878372634,0.0182723021880569,0.0242250631381737,0.1760017768719215,0.1979960006955312
L2 by L1,NK cell,gain,4,4,0,0.0060495359423233,0.0023756672781723998,0.0006990691979535998,0.0072373695814095,0.0048617023032371,0.0070931660073659,0.0073815731554531,0.0043068366793271,0.0054165679271471
L2 by L1,Monocyte,flip,4,2,2,0.002417525312784425,0.005582654424984749,0.00048979822903295,-0.00037380189970795,0.005208852525276799,-0.0004426467221246,-0.0003049570772913,0.0056298059318931,0.0047878991186605
L2 by L1,DC,flip,4,3,1,0.0019241250180864,0.000663999993266,0.0090355807561828,0.0015921250214534,0.0022561250147194,-0.0071228145909777,0.0103070646338845,0.0019354838709677,0.0025767661584711
L2 by L1,B cell,loss,4,0,4,-0.017413235923181447,0.004536074930501396,0.005794831770645099,-0.019681273388432147,-0.015145198457930751,-0.018102508178844,-0.0212600385980203,-0.0109291318968738,-0.0193612650189877
L3 by L2,Treg,gain,4,4,0,0.3207354992650151,0.21466062710702855,0.013963469845177157,0.2134051857115008,0.42806581281852935,0.20473061760841,0.2220797538145916,0.422776911076443,0.4333547145606157
L3 by L2,CD16 monocyte,gain,4,4,0,0.07361788879567795,0.0375246556560047,0.0030996735146581987,0.0923802166236803,0.054855560967675604,0.090788013318535,0.0939724199288256,0.0563630311771885,0.0533480907581627
L3 by L2,CD14 monocyte,gain,4,4,0,0.07558258234217725,0.0027677170192779016,0.0021097296803051988,0.0769664408518162,0.0741987238325383,0.0765151086197459,0.0774177730838865,0.0725403263843034,0.0758571212807732
L3 by L2,Memory CD4 T cell,gain,4,4,0,0.153712305582337,0.1795839639955163,0.00031751386268690646,0.06392032358457886,0.24350428758009515,0.0637043789884002,0.0641362681807575,0.2436058568466034,0.2434027183135869
L3 by L2,gdT,gain,4,4,0,0.0560086341203674,0.035290542616092505,0.004631879508578903,0.03836336281232115,0.07365390542841366,0.0378383921246924,0.0388883334999499,0.0777608142493638,0.0695469966074635
L3 by L2,cDC2,gain,4,4,0,0.038632104321523725,0.009726370376746951,0.012576583847144149,0.0434952895098972,0.03376891913315025,0.0347517730496453,0.0522388059701491,0.0376019865200425,0.029935851746258
L3 by L2,CD56dim NK cell,gain,4,4,0,0.0326571615669603,0.006726182296085403,0.005049596152684004,0.036020252715003004,0.0292940704189176,0.0336369477304508,0.0384035576995552,0.0266277792507858,0.0319603615870494
L3 by L2,Naive CD4 T cell,gain,4,4,0,0.07519011410549227,0.08394959286327766,0.021001207361197746,0.033215317673853446,0.1171649105371311,0.028911948766326,0.0375186865813809,0.1004670720834608,0.1338627489908014
L3 by L2,Memory CD8 T cell,gain,4,4,0,0.06235983328196455,0.0590025497750403,0.0124476114896631,0.032858558394444404,0.0918611081694847,0.0270590224928124,0.0386580942960764,0.0852130325814536,0.0985091837575158
L3 by L2,Naive CD8 T cell,gain,4,4,0,0.2766518520793346,0.5054415890660775,0.004582955626514179,0.023931057546295847,0.5293726466123734,0.0216462782500518,0.0262158368425399,0.5316708229426435,0.5270744702821032
L3 by L2,MAIT,gain,4,4,0,0.08436578884703798,0.12103810392244997,0.018938784573132944,0.023846736885813,0.14488484080826297,0.0166941241076331,0.0309993496639929,0.1330986690133099,0.156671012603216
L3 by L2,Naive B cell,gain,4,4,0,0.017384632499925674,0.001912222537393149,0.003971680191940349,0.0164285212312291,0.01834074376862225,0.0149369660034653,0.0179200764589929,0.0158606188044457,0.0208208687327988
L3 by L2,Memory B cell,flip,4,2,2,-0.00368415263106255,0.0196249353590604,0.0155347020946639,0.00612831504846765,-0.01349662031059275,0.0112100576217915,0.0010465724751438,-0.0030436607892527,-0.0239495798319328
L3 by L2,Progenitor cell,flip,4,1,3,-0.033699504171572255,0.0676521612474987,0.0643411877352868,-0.0675255847953216,0.0001265764521771,-0.1284722222222222,-0.006578947368421,0.0035211267605633,-0.0032679738562091
L3 by L2,Effector B cell,loss,4,0,4,-0.07501686845440769,0.1344565713235196,0.010397646766123203,-0.1422451541161675,-0.0077885827926479,-0.1320838911200356,-0.1524064171122994,-0.0080249665626392,-0.0075521990226566
