split,node,verdict,n_config,n_gain,n_loss,mean,between_method,within_method,f_statistic,kruskal_wallis,seurat_v3,f_statistic x lgbm,f_statistic x logit,kruskal_wallis x lgbm,kruskal_wallis x logit,seurat_v3 x lgbm,seurat_v3 x logit
L2 by L1,B,gain,6,6,0,0.019142512077294647,0.0358695652173912,0.005434782608695632,0.0420289855072463,0.00923913043478255,0.0061594202898551,0.0460144927536231,0.0380434782608695,0.0112318840579709,0.0072463768115942,0.0083333333333334,0.0039855072463768
L2 by L1,CD4 T,gain,6,6,0,0.054695121951219484,0.0497560975609755,0.009146341463414628,0.03908536585365855,0.0376219512195122,0.0873780487804877,0.0428048780487805,0.0353658536585366,0.0331707317073171,0.0420731707317073,0.0818292682926828,0.0929268292682926
L2 by L1,other T,flip,6,3,3,-0.0069904341427520006,0.025386313465783603,0.007113073338238868,-0.0007358351729213003,-0.022810890360559152,0.00257542310522445,0.0066225165562913,-0.0080941869021339,-0.0206033848417954,-0.0250183958793229,0.0014716703458425,0.0036791758646064
L2 by L1,CD8 T,flip,6,4,2,0.0054639445098809,0.014330585001962999,0.004776861667321066,0.0053985080486847,-0.0016686297605025,0.0126619552414605,0.0035335689045936,0.0072634471927758,-0.0019630938358853,-0.0013741656851197,0.0076560659599528,0.0176678445229682
L2 by L1,Mono,flip,6,4,2,0.00017003332653194993,0.00193837992246475,0.0009521866285791001,0.0,0.0012242399510302999,-0.00071413997143445,-0.0003060599877575,0.0003060599877575,0.0011222199551111,0.0013262599469495,-0.0017343399306264,0.0003060599877575
L2 by L1,NK,flip,6,4,2,0.00330386641664435,0.00950977765871955,0.0019644611125992336,0.0,0.00950977765871955,0.00040182159121350005,-0.0005357621216179,0.0005357621216179,0.00803643182427,0.0109831234931691,0.0013394053040449,-0.0005357621216179
L2 by L1,DC,flip,6,1,5,-0.001162250116224983,0.0048814504881449,0.004184100418410033,0.0013947001394699504,-0.0034867503486749503,-0.00139470013946995,-0.0041841004184101,0.00697350069735,-0.00278940027894,-0.0041841004184099,-0.0013947001394699,-0.00139470013947
L3 by L2,B intermediate,gain,6,6,0,0.17779545486685613,0.2708900767892749,0.021638171199072354,0.1637308557125281,0.3202727928386576,0.0493827160493827,0.1810699588477367,0.1463917525773195,0.3353909465020576,0.3051546391752577,0.0493827160493827,0.0493827160493827
L3 by L2,Treg,gain,6,6,0,0.14489320571923336,0.03742489260505821,0.018570205998951223,0.13487322733132784,0.16861564121571526,0.13119074861065705,0.1384615384615385,0.1312849162011172,0.1513157894736841,0.1859154929577464,0.1381578947368421,0.124223602484472
L3 by L2,CD4 TEM,gain,6,6,0,0.07183230637063526,0.024892958951532762,0.0211815977823461,0.08084792368294891,0.0786940306975407,0.055954964731416146,0.0984204131227217,0.0632754342431761,0.0678175092478421,0.0895705521472393,0.0526315789473684,0.0592783505154639
L3 by L2,B memory,flip,6,4,2,0.13952308472856417,0.3531202435312024,0.015220700152207,0.0791476407914764,0.34627092846270924,-0.00684931506849315,0.0882800608828006,0.0700152207001522,0.3576864535768645,0.334855403348554,-0.0045662100456621,-0.0091324200913242
L3 by L2,CD8 TCM,gain,6,6,0,0.06980328089470567,0.07550916608894345,0.025836480856125128,0.05704099821746875,0.0384298391888524,0.11393900527779585,0.0677361853832441,0.0463458110516934,0.039426523297491,0.0374331550802138,0.0868761552680221,0.1410018552875696
L3 by L2,CD4 TCM,gain,6,6,0,0.0511672298458306,0.0338947492607503,0.004222920067249933,0.039236196722280806,0.0411345468321799,0.0731309459830311,0.0385594761731539,0.0399129172714077,0.036404160475483,0.0458649331888768,0.07220367278798,0.0740582191780822
L3 by L2,gdT,flip,6,5,1,0.027377738539491464,0.04153965160992605,0.0103423174742254,0.03618162017257265,0.0437456235279139,0.00220597191798785,0.0376811594202899,0.0346820809248554,0.0347826086956521,0.0527086383601757,-0.0028449502133712,0.0072568940493469
L3 by L2,B naive,flip,6,5,1,0.0858195587730206,0.24611800969764866,0.02681820953310636,0.0197893967819504,0.24189364461738,-0.00422436508026865,0.0304996755353665,0.0090791180285343,0.2658884565499351,0.2178988326848249,-0.009746588693957,0.0012978585334197
L3 by L2,Plasmablast,gain,6,6,0,0.03685206526225237,0.05536015467522325,0.008878741755454134,0.02816901408450705,0.06887366818873665,0.0135135135135134,0.0281690140845071,0.028169014084507,0.0821917808219178,0.0555555555555555,0.0135135135135134,0.0135135135135134
L3 by L2,NK,flip,6,4,2,0.011524634093849066,0.057331593216235,0.008126760028153133,0.0310945982814803,0.0297162989348216,-0.0262369949347547,0.0268041237113401,0.0353850728516205,0.0278755868544601,0.0315570110151831,-0.0322959483264827,-0.0201780415430267
L3 by L2,CD8 TEM,flip,6,5,1,0.017645478365385964,0.0226589863381415,0.0103182964334458,0.02808222930700705,0.0194309628202853,0.005423242968865549,0.0210843373493975,0.0350801212646166,0.0168031021111589,0.0220588235294117,-0.0004284490145672,0.0112749349522983
L3 by L2,cDC2,flip,6,2,4,-0.009109422532885632,0.019911317512483998,0.015621583267773333,-0.0031571722717913,-0.0021298889071908003,-0.0220412064196748,0.0064516129032258,-0.0127659574468084,-0.0106837606837606,0.006423982869379,-0.0167714884696017,-0.0273109243697479
L3 by L2,CD8 Naive,flip,6,4,2,0.004612566272095683,0.006793047621839049,0.012796481399850035,0.0041211525673553,0.00146174931354635,0.0082547969353854,-0.0043668122270741,0.0126091173617847,-0.0048661800486619,0.0077896786757546,0.003875968992248,0.0126336248785228
L3 by L2,dnT,loss,6,0,5,-0.06136992774855463,0.0783120940683965,0.0434619905049586,-0.0665820029027576,-0.0979199372056514,-0.0196078431372549,-0.0576923076923077,-0.0754716981132075,-0.0612244897959183,-0.1346153846153845,0.0,-0.0392156862745098
